artist,song,link,text,Moods
Toto,Simple Life,/t/toto/simple+life_20462979.html,"Days feel so long  
My life seems short as years go by  
The chance that I took  
Feeling so strong I had to try  
All of the pain I left behind  
  
Been down the road  
My heart has been sold  
The price was steep  
The world that we have  
The wish that we made is ours to keep  
  
All of our emotions are so deep  
Cuz I can't stop falling in love with you  
  
All I want is a simple life  
All I really want is you  
All I want, all I need  
Is a simple life

",Brass
Metallica,Green Hell,/m/metallica/green+hell_20208520.html,"Originally performed by The Misfits  
Here in this place lies the key to your death  
Touch it, see it  
Here in this place is the means to your end  
Touch it, feel it  
Green hell  
  
You did your best as someone could  
I bet you never knew you would  
Did you run away from it?  
I bet you thought you were really good  
  
We're gonna burn in hell  
Green Hell Green Hell  
Like every hell but kind of green  
Green Hell Green Hell  
Try let me get back up there  
Green Hell Green Hell  
Feel it burning in your cereal  
Green Hell Green Hell  
Throw our fuckin' friends inside  
Green Hell Green Hell  
Gotta fuckin' pay and you must stay  
Green Hell Green Hell  
Cannot forget about the best  
Green Hell Green Hell  
Hell is reigning in your blood  
Green Hell Green Hell  
Gotta burn it all  
Green hell  
  
You did your best as someone could  
I bet you never knew you would  
And did you run away from me  
I bet you think they were really good  
  
Here in this place lies the key to your death  
Touch it, see it  
Here in this place sister won't let it in  
Touch it, feel it  
Green hell  
  
You did your best as someone could  
I bet you'd never knew you would  
Did you run away from it?  
I bet you thought you were really good  
You've come to this as someone told  
I bet you'd never knew you would  
Gonna bring  
Green hell

",Breakbeat
James Taylor,It's Growing,/j/james+taylor/its+growing_20766941.html,"Like a snowball rolling down the side of a snow covered hill, it's growing.  
Like the size of a fish that the man claims broke his reel, it's growing.  
Like a rosebud blooming in the warm of the summer sun, it's growing.  
Like the tale by the time it's been told by more than one, wooo, it's growing.  
  
Everyday it grows a little more than it was the day before.  
My love for you just grows and grows.  
Oh, how it grows and it grows.  
And where it's gonna stop I'm sure, nobody knows.  
  
(Hey, hey, hey, nobody knows)  
How it grows, and it grows, and it grows.  
(Nobody knows) yeah, yeah, yeah, yeah  
(Nobody knows. It grows, it grows, where is it gonna stop)  
  
Like a need in a guy to see his girl.  
When she's gone away, it's growing.  
Like the sadness in his little heart  
When he knows that she's gone to stay, wooo, it growing.  
  
Everyday it grows a little more than it was the day before.  
My love for you just grows and grows.  
Oh, how it grows and it grows.  
And where it's gonna stop I'm sure, nobody knows.  
  
(Hey, hey, hey, nobody knows) It gets a little wider.  
(Nobody knows) oh, it gets a little stronger.  
(Hey, hey, hey) the feeling for each kiss, baby.  
(Hey, hey, hey) oh, it lasts a little longer, yeah.  
(Hey, hey, hey) oh, so much, oh, so much.  
Can't you see it's growing, baby  
It grows, and it grows, and it grows, and it grows

",British
Lata Mangeshkar,Aankhon Ka Taara Praanon Se Pyaara,/l/lata+mangeshkar/aankhon+ka+taara+praanon+se+pyaara_21039406.html,"Aankhon ka taara praanon se pyaara  
Jug jug jiye mera laal re  
Meri umariya mil jaaye tujhako  
Jita rahe sau saal re  
Aankhon ka taara praanon se pyaara  
  
Pahale baras mera nanha sa raaja  
Kuun kuun muun muun bole  
Duje baras bole roti ko loti  
Maiyya ka dil dole re  
Maange khilaune gaadi ghode  
Jabake lage tija saal re  
Aankhon ka taara praanon se pyaara  
  
Chauthe baras khele gilli danda  
Paise maan se maange re  
Natakhat raaja maan ko sataaye  
Maan pichhe vo aage re  
Ho o o o  
Paathashaala baabu banakar  
Jaaye mera laal re  
Aankhon ka taara praanon se pyaara  
  
Khushiyon ki kiranein phailaaye jag mein  
Punam ka chanda hamaara re  
Bole baabul la de dulhaniya  
Beta javaahar hamaara re  
O meri maiyya laal dushaala  
Beta chala sasuraal re  
Aankhon ka taara praanon se pyaara

",Britpop
Cher,It Might As Well Stay Monday,/c/cher/it+might+as+well+stay+monday_20029617.html,"Here it is again Monday morning  
And I really got the blues  
But it don't much matter  
I got no need to smile  
And I don't think I will for quit awhile  
  
CHORUS:  
So it might as well stay Monday from now on  
Cause it seems that the only one I ever love is gone  
And it just might as well stay Monday from now on  
  
Go away mister sun I can't use you  
Brighten someone else's life  
Let the darkest hide me and carry off my pain  
For there's nothing you can do, nothing you can do,  
Nothing you can do to make things change  
  
Chorus  
  
Let the darkest hide me and carry off my pain  
For there's nothing you can do, nothing you can do,  
Nothing you can do to make things change  
And it might as well stay Monday from now on  
Might as well stay Monday from now on

",Broadway
Foo Fighters,Butterflies,/f/foo+fighters/butterflies_20054720.html,"Where's this come from? he's just as  
Where's this come from  
He's just as dumb  
As he denies  
  
He never lies  
Her new disguise  
Is butterflies  
  
I'm all sick for you  
I'm not a fool  
You're the one that bothers me  
I am not a fool  
You're the one pretending to be  
  
I die for some  
Rare pelicans  
In wonderland  
  
If she was true  
She'd make them blue  
Everytime (yeah it goes)  
  
Where's this come from  
He's just as dumb  
As he denies

",Calm
Hillsong United,Air I Breathe,/h/hillsong+united/air+i+breathe_20626681.html,"Hold me, in your arms  
Like a new born child  
I'm desperate, lord  
For more of you  
  
Touch me, with your love  
Deep within my heart  
I'm waiting, lord  
For more of you  
  
May your words of love  
Wash over me  
May your songs of grace  
Cover me  
  
More than the air I breathe today  
I need you  
More than the desert needs the rain  
I need you  
More than the air breathe today  
I need you  
More than to live another day  
I need you

",Cantonese
Hooverphonic,L'odeur Animale,/h/hooverphonic/lodeur+animale_20065978.html,"Feel the need to wonder  
Inside  
Fulfill your basic needs  
Deep inside  
We wander by the lake of tears  
And smell the odor of our fear  
Inside  
Deep inside  
All these creepy things crawling  
Deep inside  
Feel the urge to grow  
Inside  
Our world is covered with clouds  
Deep inside  
We wander by our ocean of tears  
We try to hide our frozen fear  
Inside  
Deep inside  
All these creepy things crawling  
Deep inside

",Celtic
John Prine,Killing The Blues,/j/john+prine/killing+the+blues_20074793.html,"Leaves were falling ..just like embers  
In colors red and gold they set us on fire  
Burning just like a moonbeam ..in our eyes  
Chorus:  
Somebody said they saw me  
Swinging the world by the tail  
Bouncing over a white cloud.  
Killing the blues  
I am guilty of something  
I hope you never do because there is nothing  
Sadder than losing .. yourself in love  
Repeat chorus:  
Repeat chorus:  
Now, you ask me just to leave you  
To go out on my own and get what I need to  
You want me to find ..what I've already had  
Repeat chorus:  
Repeat chorus:  
Repeat chorus:  
Repeat chorus:

",Chamber
Evanescence,Bleed,/e/evanescence/bleed_20502711.html,"How can I pretend that I don't see,  
What you hide so carelesslly,  
I saw her bleed,  
And you heard me breathe,  
And I froze inside myself,  
And turned away,  
I must be dreaming  
  
We all live, we all die,  
That does not begin to justify you  
  
It's not what it seems,  
Not what you think,  
No, I must be dreaming,  
It's only in my mind,  
Not real life,  
No, I must be dreaming  
  
Help you know I've got to tell someone,  
Tell them what I know you've done,  
I fear you, but spoken fears can come true  
  
We all live, we all die,  
That does not begin to justify you  
  
It's not what it seems,  
Not what you think,  
No I must be dreaming,  
It's only in my mind,  
Not real life,  
No I must be dreaming  
  
We all live,  
We all die,  
That does not begin to justify you  
  
It's not what it seems,  
Not what you think,  
No I must be dreaming,  
It's only in my mind,  
Not real life,  
No I must be dreaming  
  
Not what it seems,  
Not what you think,  
I must be dreaming,  
Just in my mind,  
Not real life,  
I must be dreaming.

",Chanson
Hank Williams Jr.,Fax Me A Beer,/h/hank+williams+jr/fax+me+a+beer_21033703.html,"Well here we are smack in the middle of the 90's high tech age  
We got lasers, cds, microchips, and fat free fat these days  
Well that's all fine but I got a mind that's changing to fast for me  
'Cause what I thought was new last month this month is history  
I got a brand new vcr, it's got 29, 000 functions  
And I can't make the damn thing work so there goes Petticoat Junction  
That's when I got the best idea I think I had in years  
I think I'll be cool and invent the tool that'll fax me a beer  
  
Would you all please fax me a beer  
This invention is gonna set the whole world on it's ear  
Yeah, makin' old whiskey that was riskey but this is all in the clear  
Sit back, relax, and punch ol' fax and I'll fax you a beer  
  
Japan and Germany they got nothing on us you see  
Why this is the latest and good ol' American high technology  
And when this hits the marketplace Uncle Sam will rule the world  
Well hold on cause I'm working on a machine that'll faxa real live girl  
  
Would you all please fax me a beer  
This invention is gonna set the whole world on it's ear  
The old office code will never quite bet the same  
When it come cold and clear  
Sit back, relax, and punch ol' fax and I'll fax you a beer  
  
Would you like me to fax me a beer  
This invention is gonna set the whole world on it's ear  
The old office code will never be the same  
When it comes out cold and clear  
Sit back, relax, and punch ol' fax and I'll fax you a beer  
Sit back and drank and give thanks to Hank and I'll fax you a beer

",Chill
Jimmy Buffett,If It All Falls Down,/j/jimmy+buffett/if+it+all+falls+down_20071943.html,"I never wanted to be  
A man of mystery  
My life's an open book  
by James Joyce and Agatha Christie  
  
Sometimes I get confused  
Somewhere around page two  
I live the perfect crime  
And crime pays more than it used to  
  
They're checkin' the evidence  
May be come charges pressed  
The only one they got me on  
is some misdemeanor craziness  
  
(CHORUS)  
If It All Falls Down falls down falls down  
If they solve my life if they find me out  
Never thought to keep all I have found  
I hae had my fun If It All Falls Down  
  
If It All Falls Down falls down falls down  
I hve had my fund I have bought a few rounds  
And been out on the town way out on the town  
Way way way out If It All Falls Down  
  
Never wanted to be  
A part of history  
I have my days in the sun  
A beach bum a man for all sea sides  
Guidance counselor said  
Your scores are anti-heroic  
Computer recommends  
Hard-drinking calypso poet  
  
Studied life at sea  
Studied life in bars  
Never passed my S.A.T.'s  
So I thought I'd study extra hard  
  
(CHROUS)  
If It All Falls Down falls down falls down  
I have learned my trade from the inside out  
I can strum real hard I can play real loud  
I can charm a crowd If It All Falls Down  
  
If It all Falls Down falls down falls down  
I can warm a crowd I can make them shout  
I can juggle verbs adverbs and nouns  
I can make them dance till they all fall down  
We had plenty of doctors  
We had plenty of lawyers  
We had people to make us things  
We had people to sell us those things  
We didn't have enough room for those things  
We build lots of self storage  
Calypso poet shortage  
Calypso poet shortage  
  
If It All Falls Down falls down falls down  
I'll have filled that void from city to town  
I'll have spent my money and taken my bows  
I'll have had my fun If It All Falls Down  
If It All Falls Down falls down falls down  
If they solve my life if they find me out  
Never thought to keep all I have found  
I have had my fun If It All Falls Down  
  
If It All Falls Down falls down falls down  
I can charm a crowd till they snake danced round  
With calypso beat down island sound  
I can make them dance till they all fall down  
  
If It All Falls Down falls down falls down  
I can charm a crowd I can make them shout  
I can juggle verbs adverbs and nouns  
I can make them dance till they all fall down

",Chinese
Gordon Lightfoot,Just Like Tom Thumb's Blues,/g/gordon+lightfoot/just+like+tom+thumbs+blues_10137495.html,"When you're lost in the rain in juarez and it's eastertime too,  
And your gravity fails and negativity don't pull you through,  
Don't put on any airs when you're down on rue morgue avenue,  
They got some hungry women there and they really make a mess outa you!  
  
Sweet melinda, the peasants call her the goddess of doom,  
She speaks good english and she invites you up into her room.  
And you're so kind, too careful not to go to her too soon,  
Then she steals your voice and leaves you howling at the moon!  
  
Up on housing project hill it's either fortune or fame,  
You must pick one or the other though neither of them is what they claim,  
If you're lookin' to get silly you'd better go back to from where you came,  
Because the cops don't need you and man they expect the same!  
  
I started out on burgundy but soon hit the harder stuff,  
Everybody said they'd stand behind me when the game got rough,  
But the joke was on me - there was nobody there to even call my bluff,  
I'm going back to new york city I do believe I've had enough,  
I'm going back to new york city I do believe I've had enough!

",Choir
Emmylou Harris,After The Gold Rush,/e/emmylou+harris/after+the+gold+rush_20504434.html,"Well I dreamed I saw the knights in armor coming saying something about a
queen  
There were peasants singing and drummers drumming and the archer split the
tree  
There was a fanfare blowing to the sun that was floating on the breeze  
Look at mother nature on the run in the twentieth century  
Look at mother nature on the run in the twentieth century  
  
I was lying in a burned out basement with a full moon in my eyes  
I was hoping for a replacement when the sun burst through the skies  
There was a band playing in my head and I felt like I could cry  
Thinking about what a friend had said I was hoping it was a lie  
Thinking about what a friend had said I was hoping it was a lie  
[ piano ]  
Well I dreamed a saw the silver spaceships flying in the yellow have of the
sun  
The were children crying and colors flying all around the chosen ones  
All in a dream all in a dream the loading had begun  
Flying mother nature's silver seed to a new home in the sun  
Flying mother nature's silver seed to a new home

",Chorus
Zebrahead,Back To Normal,/z/zebrahead/back+to+normal_20531265.html,"I'm feeling lost,  
I'm feeling like my heart's  
Been carved out with a spoon  
Put on display for all to witness this decay of me and you  
  
Awaking and taking the cycle of breaking up  
To a whole new level  
Shaking and faking like you're making a hard choice not to settle  
Imbedded, I'm think headed  
I shredded all the letters you sent  
Don't get it. why'd you let it get this far  
Lights out lights out Pass the herb  
Lights out lights out kiss the curb  
Lights out lights out your heart has turned  
Who's going to save me every time I crash and Burn  
And I crash and burn  
  
I'm sick of endings  
I'm done pretending  
I just want you back to normal  
I think you don't know just how you feel  
And every time you think of me  
Remember how things used to be not long ago  
  
Whoa  
  
I'll fated,I skated,  
To the party faded,and I saw you there  
I waited, hated, getting ignored  
You stated you didn't care  
Flashes of car crashed and  
Your ashes burning the cement  
The curtain fails, last call, credits roll  
We have reached the end  
  
Lights out lights out Pass the herb  
Lights out lights out kiss the curb  
Lights out lights out your heart has turned  
Who's going to save you every time you crash and Burn  
Crash and burn  
  
I'm sick of endings  
I'm done pretending  
I just want you back to normal  
I think you don't know just how you feel  
And every time you think of me  
Remember how things used to be not long ago  
  
Sick of endings  
I'm done pretending  
Tired of fighting  
I'm sick of always trying  
  
I'm feeling lost,  
I'm feeling like my heart's  
Been carved out with a spoon  
Put on display for all to witness this decay of me and you  
I just want you back to normal  
I think you don't know just how you feel  
And every time you think of me  
Remember how things used to be not long ago  
  
Whoa  
  
Lights out lights out Pass the herb  
Lights out lights out kiss the curb  
Lights out lights out your heart has turned  
Who's going to save me every time I crash and Burn  
I crash and burn  
I crash and burn

",Classical
Everclear,Glorious,/e/everclear/glorious_20360463.html,"You were shining in a white light  
Like a fairytale movie star  
Never really thought I would find snow white drinking in a downtown bar  
You were underneath the white light  
Like a vision in a deep dark place  
Never really thought I would fall for a country girl with an angel's face  
  
Aw everything fades away  
The world changes every day  
When I think about you, it makes me want to say  
  
Glorious  
Glorious  
You are glorious  
  
We were walkin' in the white sun  
Growing up and throwin' down loud  
There was silver in our eyes and we didnt know why,  
The power of the north so proud  
We were lost inside a long dark summer  
Headed down a no where road  
Looking for a light in the middle of the night,  
A place that felt like home  
  
I know everything fades away  
The world changes everyday  
When I think about you, and what we had,  
It makes me want to say  
  
Glorious  
Glorious  
You are to me  
Glorious  
Yeah this glorious life has never been what it seems  
I was asleep when I was living the dream  
Living the dream  
I know I was living the dream  
  
I think about the time in the city  
Running away trying to live free  
I could never believe that you wanted to be with me  
We'd wait in the cold for the last bus home  
Sleeping with your arms around me  
The world is never what it seems to be  
I was living the life when  
I should have been living the dream  
  
Glorious  
Should've been living the dream  
Glorious  
Should've been living the dream  
Glorious  
I know I never understood how much you would mean to me  
Now I know I was living the dream  
Glorious  
I know I was living the dream  
Glorious  
I know I know I was living the dream  
Glorious  
I know this glorious live has never been what it seems  
I was walkin' around half asleep when I was living the dream

",Club
J Cole,Kerney Sermon,/j/j+cole/kerney+sermon_21063391.html,"[Kerney Thomas]  
I'm just thankful 18 years of suffering gone just like that  
You've been suffering 18 years yourself  
You've been going through pure hell but it can be over just like that  
This is pastor Kerney Thomas and I literally have tens of thousands across the
country  
That were hurting for God to heal them  
And God could work a miracle for them  
All you gotta do is either log on to our website  
Or you can dial the toll-free number  
And place your order right there  
For the Personal Prayer Package  
I want you quickly, to place that order right now  
For the Personal Prayer Package  
Pick up the telephone right now  
I said pick up the phone right now  
You're past due a miracle

",Comedy
XTC,Easter Theatre,/x/xtc/easter+theatre_20147749.html,"Gold sun rolls around  
Chocolate nipple brown  
Tumble from your arms  
Like the ground your breasts swell  
Land awake from sleep  
Hares will kick and leap  
Flowers climb erect  
Smiling from the moist kiss of her rainbow mouth  
  
[Chorus]  
  
Stage left  
Enter Easter and she's dressed in yellow yolk  
Stage right  
Now the son has died, the father can be born  
Stand up  
If we'd all breathe in and blow away the smoke  
New life  
We'd applaud a new life  
  
Odin mounts the tree  
Bleeds for you and me  
Splashing on the lamb  
Gamboling with spring's step  
Buds will laugh and burst  
Racing to be first  
Turning all the soil  
As the promptress fingers through her spinning script  
  
[Chorus]  
  
Easter, in her bonnet  
Easter, in her hair  
Easter, are the ribbons  
She tied everywhere

",Country
